term,estimate,std.error,statistic,p.value
(Intercept),-1458.8152328991455,508.8872320122802,-2.866676821759879,0.0042280920954990055
age,68.74511019966677,5.739870187973277,11.976770893479102,3.8883846844967355e-31
bmi,158.48057986468638,15.554738418512025,10.188572485158302,2.4011452091677317e-23
children,77.5531708088731,47.601064129685,1.6292318717410639,0.103553683890847
smokeryes,7413.370742381479,182.70072803795392,40.57658019206929,6.776945829367573e-220
chronic_conditionyes,3816.901963382584,166.07653713073822,22.982788714927597,1.393563105338511e-95
exercise_levellow,1492.1500411867994,210.17996761637457,7.099392287995338,2.2588336184007277e-12
exercise_levelmedium,513.3921465229953,188.7062150000592,2.7205894968686337,0.0066205557899169714
exercise_levelunknown,711.584271838678,520.6879212861971,1.3666233510486108,0.1720259926339898
prior_claims,890.1693220358512,136.2303663006128,6.534294417674535,9.801918388089503e-11
prior_accidents,1044.6694985306644,143.59751359666808,7.274983196888056,6.620880541167043e-13
plan_typepremium,1544.2052815386742,206.17360262741988,7.489830229766301,1.423538933889998e-13
plan_typestandard,689.6474862563408,160.03005534746663,4.309487269494082,1.7846159572962447e-5
